show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,1,1,Pilot,11200000,3/24/05,7.4,7006,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace."
The Office,1,2,Diversity Day,6000000,3/29/05,8.3,6902,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own."
The Office,1,3,Health Care,5800000,4/5/05,7.7,5756,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead."
The Office,1,4,The Alliance,5400000,4/12/05,8,5579,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors."
The Office,1,5,Basketball,5000000,4/19/05,8.4,6183,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.
The Office,1,6,Hot Girl,4800000,4/26/05,7.7,5495,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.
The Office,2,1,The Dundies,9000000,9/20/05,8.7,6184,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards."
The Office,2,2,Sexual Harassment,7130000,9/27/05,8.2,5299,The office reviews its sexual harassment policy in light of explicit e-mails.
The Office,2,3,Office Olympics,8300000,10/4/05,8.3,5249,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games."
The Office,2,4,The Fire,7600000,10/11/05,8.3,5183,A fire in the kitchen relegates the staff to the parking lot as help is on its way.
The Office,2,5,Halloween,8000000,10/18/05,8.1,4857,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party."
The Office,2,6,The Fight,7900000,11/1/05,8.1,4867,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.
The Office,2,7,The Client,7500000,11/8/05,8.6,5125,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office."
The Office,2,8,Performance Review,8000000,11/15/05,8.1,4629,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan."
The Office,2,9,E-Mail Surveillance,8100000,11/22/05,8.4,4766,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him."
The Office,2,10,Christmas Party,9700000,12/6/05,8.9,5278,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff."
The Office,2,11,Booze Cruise,8700000,1/5/06,8.6,5086,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk."
The Office,2,12,The Injury,10300000,1/12/06,9.1,6120,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury."
The Office,2,13,The Secret,8700000,1/19/06,8.2,4518,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff."
The Office,2,14,The Carpet,8600000,1/26/06,7.8,4465,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.
The Office,2,15,Boys and Girls,5420000,2/2/06,8.1,4431,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam."
The Office,2,16,Valentine's Day,8950000,2/9/06,8.3,4450,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style."
The Office,2,17,Dwight's Speech,8400000,3/2/06,8.4,4737,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.
The Office,2,18,Take Your Daughter to Work Day,8800000,3/16/06,8.3,4590,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb."
The Office,2,19,Michael's Birthday,7800000,3/30/06,8.1,4432,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating."
The Office,2,20,Drug Testing,7800000,4/27/06,8.4,4522,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.
The Office,2,21,Conflict Resolution,7400000,5/4/06,8.7,4627,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin."
The Office,2,22,Casino Night,7600000,5/11/06,9.4,6692,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.
The Office,3,1,Gay Witch Hunt,9110000,9/21/06,9,5952,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office."
The Office,3,2,The Convention,7780000,9/28/06,8.2,4354,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement."
The Office,3,3,The Coup,8890000,10/5/06,8.5,4562,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time."
The Office,3,4,Grief Counseling,8830000,10/12/06,8,4366,Michael takes on the role of office grief counselor when he learns that his old boss has died.
The Office,3,5,Initiation,8460000,10/19/06,8.1,4248,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.
The Office,3,6,Diwali,8810000,11/2/06,7.9,4443,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game."
The Office,3,7,Branch Closing,8050000,11/9/06,8.6,4371,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath."
The Office,3,8,The Merger,8630000,11/16/06,8.7,4558,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.
The Office,3,9,The Convict,9070000,11/30/06,8.3,4564,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam."
